"","default_label","Age","gender","edu","housing","income","job_occupation","past_bad_credit","married"
"1",0,49,0,2,1,3782.41035577087,0,1,1
"2",0,62,1,3,1,11516.0006636964,0,1,1
"3",0,43,1,2,1,1746.63249462985,1,1,1
"4",0,59,0,0,0,1195.97523389384,1,1,1
"5",0,58,1,4,1,7217.46609705486,0,1,1
"6",0,64,0,3,1,9969.38423112173,0,1,0
"7",0,61,0,0,1,2970.46524452046,1,1,0
"8",0,41,0,2,1,5841.7192901672,0,1,0
"9",0,39,0,1,1,10849.2237098364,1,1,0
"10",0,41,0,1,1,3546.18093769231,0,1,1
"11",0,59,0,0,1,2065.71234225295,1,0,0
"12",0,54,1,4,1,6029.77411426322,2,1,1
"13",0,54,0,0,1,1539.60104675964,0,1,1
"14",0,35,0,0,1,1328.50692125969,0,1,1
"15",0,61,0,2,0,11658.506986675,0,1,1
"16",0,62,0,1,1,9117.64067364018,1,1,0
"17",0,58,0,3,1,12804.70598587,0,1,0
"18",0,42,1,3,1,3122.72847078173,1,1,1
"19",0,58,1,3,1,5452.12998392972,0,1,1
"20",0,41,0,3,0,18442.1221474165,0,1,0
"21",0,27,1,1,0,5818.66116591853,0,1,1
"22",0,29,1,3,1,4265.33596217081,0,1,1
"23",0,19,0,3,0,25084.4780901121,0,1,0
"24",0,58,1,2,1,4600.92531597858,2,1,1
"25",0,41,1,1,1,3318.24675177511,1,1,1
"26",0,42,0,0,0,671.766509627923,1,1,0
"27",0,59,1,3,1,6641.92518520885,2,1,1
"28",0,48,0,2,1,1155.09065388899,1,1,1
"29",0,29,1,1,1,2484.11838032353,0,1,0
"30",0,57,1,3,1,10808.1093526324,0,1,1
"31",0,30,0,1,0,4413.80021889116,0,1,1
"32",0,22,0,3,0,18524.449810847,0,1,0
"33",0,20,1,1,0,5732.64483405724,0,1,0
"34",0,34,0,2,1,1212.91337432064,0,1,1
"35",0,45,1,2,1,11912.1980335892,0,1,1
"36",0,57,1,1,1,1456.98335525387,1,1,1
"37",0,42,0,1,1,2880.48002647545,0,1,0
"38",0,23,0,1,0,6004.50079343739,1,1,1
"39",0,51,1,2,1,2662.60778505107,0,1,1
"40",0,49,0,3,1,11305.1589471025,0,1,1
"41",0,26,1,3,0,5839.87510371982,0,1,0
"42",0,17,0,3,0,19839.2938714139,0,1,0
"43",1,39,0,2,1,11454.664187827,0,1,0
"44",0,29,1,2,1,2169.97902073537,0,1,1
"45",0,21,1,1,0,3558.92843762631,1,1,0
"46",0,38,0,2,1,4015.3936832195,0,1,1
"47",0,60,1,3,1,23066.2778129914,2,1,0
"48",0,49,0,2,0,14285.6406216792,0,1,1
"49",0,63,0,1,0,1310.54642139778,0,0,0
"50",0,26,1,3,1,10091.0807284355,0,1,1
"51",0,29,0,3,0,7308.79675735673,0,1,0
"52",0,24,0,4,0,20709.0556081353,0,1,0
"53",0,48,1,4,0,22185.6106884131,0,1,1
"54",0,31,0,3,0,2934.07704346971,0,1,0
"55",0,58,0,2,1,8199.86870325974,0,1,1
"56",0,37,0,1,1,7671.0667987479,1,1,0
"57",0,35,0,2,0,2286.79827426085,0,1,1
"58",0,65,0,1,1,977.505922898526,0,1,1
"59",0,54,1,3,1,4907.73297447668,2,1,0
"60",0,33,1,3,0,4143.88720739881,0,1,1
"61",0,32,1,1,1,3489.23416022693,0,1,1
"62",0,23,1,4,0,18456.0051694507,1,1,1
"63",0,29,1,3,0,8799.60095784797,0,1,1
"64",0,59,0,2,1,6730.60540854218,0,1,1
"65",0,38,0,2,1,5933.41467771736,0,1,0
"66",0,34,0,1,1,3286.426311738,0,1,1
"67",0,59,1,1,1,12814.4337236662,0,1,0
"68",0,60,0,0,1,7352.50631466508,1,1,0
"69",0,18,1,0,0,1620.1371344272,0,1,0
"70",0,33,1,2,1,3297.32222456436,0,1,0
"71",0,42,1,2,1,16927.2199945679,0,1,0
"72",0,18,0,1,0,4089.26501980164,0,1,0
"73",0,59,1,2,1,9687.03159543729,2,1,1
"74",0,39,1,3,1,13153.7646808338,1,1,0
"75",0,31,1,1,1,4001.33820866374,0,1,0
"76",0,65,1,0,1,5487.09813615307,0,1,1
"77",0,44,1,2,1,3446.02466441638,1,1,0
"78",0,24,0,1,0,7573.67367528692,0,1,1
"79",0,49,0,1,1,4666.52677088489,1,1,1
"80",0,60,0,1,1,1598.37029141622,0,1,1
"81",0,57,1,1,1,1343.52693444116,1,1,0
"82",0,53,0,0,1,1762.489941651,0,1,1
"83",0,53,1,2,1,2034.61956539387,0,1,1
"84",0,57,1,3,1,6708.75884331008,0,1,1
"85",0,40,1,1,1,6036.94018856015,0,1,1
"86",0,51,0,2,1,14244.9004007164,0,1,1
"87",0,62,0,0,1,977.966575073078,1,1,1
